Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
H3BUX2;O43169;J3KNF8;D6RFH4	H3BUX2;O43169;J3KNF8;D6RFH4	3;3;3;2	3;3;3;2	3;3;3;2	Cytochrome b5 type B	CYB5B	>tr|H3BUX2|H3BUX2_HUMAN Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=2 SV=1;>sp|O43169|CYB5B_HUMAN Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=1 SV=2;>tr|J3KNF8|J3KNF8_HUMAN Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=3 SV=1;>tr|D6RFH4|D6RFH4	4	3	3	3	42.1	42.1	42.1	15.716	140	140;146;150;131	2.0455E-34	0.74242	0.56526	6.3341	2	163420000	96066000	67357000				870	3335;4228;9077	True;True;True	3342;4237;9091	3945;3946;5053;10857	7097;7098;7099;7100;7101;7102;9174;9175;9176;19615	7102;9176;19615		
H3BV55;O15305;B7Z6R0;H3BPH4;H3BRM0;H3BR08;H3BM92;H3BV34;H3BT06;H3BNY9;B7Z419;F5H0W0	H3BV55;O15305;B7Z6R0;H3BPH4;H3BRM0	3;3;2;2;2;1;1;1;1;1;1;1	3;3;2;2;2;1;1;1;1;1;1;1	3;3;2;2;2;1;1;1;1;1;1;1	Phosphomannomutase 2	PMM2	>tr|H3BV55|H3BV55_HUMAN Phosphomannomutase 2 OS=Homo sapiens GN=PMM2 PE=2 SV=1;>sp|O15305|PMM2_HUMAN Phosphomannomutase 2 OS=Homo sapiens GN=PMM2 PE=1 SV=1;>tr|B7Z6R0|B7Z6R0_HUMAN Phosphomannomutase 2 OS=Homo sapiens GN=PMM2 PE=2 SV=1;>tr|H3BPH4|H3BPH4_HUM	12	3	3	3	16.4	16.4	16.4	25.256	219	219;246;119;142;155;65;66;70;90;91;121;163	6.927E-11	1.9981	1.644	23.779	2	36884000	11867000	25018000				871	5051;10538;11631	True;True;True	5060;10557;11651	6063;12608;13926	11043;11044;11045;11046;22831;25387;25388	11045;22831;25387		
H3BV90;Q6FI81-3;Q6FI81;Q6FI81-2;H3BQ23;H3BUG4;H3BT65	H3BV90;Q6FI81-3;Q6FI81;Q6FI81-2;H3BQ23;H3BUG4;H3BT65	2;2;2;1;1;1;1	2;2;2;1;1;1;1	2;2;2;1;1;1;1	Anamorsin	CIAPIN1	>tr|H3BV90|H3BV90_HUMAN Anamorsin OS=Homo sapiens GN=CIAPIN1 PE=2 SV=1;>sp|Q6FI81-3|CPIN1_HUMAN Isoform 3 of Anamorsin OS=Homo sapiens GN=CIAPIN1;>sp|Q6FI81|CPIN1_HUMAN Anamorsin OS=Homo sapiens GN=CIAPIN1 PE=1 SV=2;>sp|Q6FI81-2|CPIN1_HUMAN Isoform 2 of An	7	2	2	2	9.3	9.3	9.3	26.446	246	246;299;312;108;129;188;266	9.7673E-06	NaN	NaN	NaN	1	3569700	1886600	1683000				872	2742;11402	True;True	2749;11422	3258;13661	5848;5849;5850;24895	5849;24895		
Q8N1F7;H3BVG0;Q8N1F7-2;H3BRI8;H3BM93;H3BNN5;H3BV11;H3BMX0;H3BP95;H3BPA9;H3BNG7;H3BVE2;H3BRD9	Q8N1F7;H3BVG0;Q8N1F7-2;H3BRI8;H3BM93	10;10;6;5;5;4;4;3;3;2;1;1;1	10;10;6;5;5;4;4;3;3;2;1;1;1	10;10;6;5;5;4;4;3;3;2;1;1;1	Nuclear pore complex protein Nup93	NUP93	>sp|Q8N1F7|NUP93_HUMAN Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2;>tr|H3BVG0|H3BVG0_HUMAN Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=2 SV=1;>sp|Q8N1F7-2|NUP93_HUMAN Isoform 2 of Nuclear pore complex protein Nu	13	10	10	10	16.2	16.2	16.2	93.487	819	819;880;696;151;178;132;136;125;156;230;40;117;140	7.0004E-33	1.0768	0.92851	17.575	9	88824000	47724000	41100000				873	1763;2151;2831;4023;6234;6776;8262;8933;9923;10838	True;True;True;True;True;True;True;True;True;True	1769;2157;2838;4031;6244;6786;8275;8947;9940;10858	2103;2589;3372;4819;7502;8194;9919;10695;11831;12984	3770;4647;6041;8761;13615;14859;14860;14861;14862;17873;19336;21364;23594	3770;4647;6041;8761;13615;14859;17873;19336;21364;23594		
H7BXK9;Q9NP58-4;Q9NP58	H7BXK9;Q9NP58-4;Q9NP58	2;2;2	2;2;2	2;2;2	ATP-binding cassette sub-family B member 6, mitochondrial	ABCB6	>tr|H7BXK9|H7BXK9_HUMAN ATP-binding cassette sub-family B member 6, mitochondrial (Fragment) OS=Homo sapiens GN=ABCB6 PE=3 SV=1;>sp|Q9NP58-4|ABCB6_HUMAN Isoform 2 of ATP-binding cassette sub-family B member 6, mitochondrial OS=Homo sapiens GN=ABCB6;>sp|Q9N	3	2	2	2	4.5	4.5	4.5	77.434	690	690;796;842	5.3015E-16	NaN	NaN	NaN	0	2244800	2244800	0				874	821;12536	True;True	825;12556	975;15032	1735;1736;27452	1736;27452		
Q5H907;Q5H909;Q9UNF1-2;H7BXW3;Q9UNF1	Q5H907;Q5H909;Q9UNF1-2;H7BXW3;Q9UNF1	3;3;3;3;3	3;3;3;3;3	3;3;3;3;3	Melanoma-associated antigen D2	MAGED2	>tr|Q5H907|Q5H907_HUMAN Melanoma antigen family D, 2, isoform CRA_d OS=Homo sapiens GN=MAGED2 PE=2 SV=1;>tr|Q5H909|Q5H909_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens GN=MAGED2 PE=2 SV=1;>sp|Q9UNF1-2|MAGD2_HUMAN Isoform 2 of Melanoma-associated ant	5	3	3	3	9.8	9.8	9.8	55.795	521	521;550;588;588;606	3.6999E-18	NaN	NaN	NaN	1	4480000	1931800	2548200				875	4608;7102;11600	True;True;True	4617;7114;11620	5518;8566;13892	10049;10050;10051;10052;15477;25328	10049;15477;25328		
H7BY50;Q5JRA6-2;Q5JRA6;G8JLC6;Q5JRA6-4	H7BY50;Q5JRA6-2;Q5JRA6;G8JLC6;Q5JRA6-4	4;4;4;3;2	4;4;4;3;2	4;4;4;3;2	Melanoma inhibitory activity protein 3	MIA3	>tr|H7BY50|H7BY50_HUMAN Melanoma inhibitory activity protein 3 (Fragment) OS=Homo sapiens GN=MIA3 PE=4 SV=1;>sp|Q5JRA6-2|MIA3_HUMAN Isoform 2 of Melanoma inhibitory activity protein 3 OS=Homo sapiens GN=MIA3;>sp|Q5JRA6|MIA3_HUMAN Melanoma inhibitory activi	5	4	4	4	4.8	4.8	4.8	114	1016	1016;1848;1907;1907;785	3.7805E-21	2.0431	1.7439	16.539	2	23130000	5411200	17719000				876	9270;9282;10659;11926	True;True;True;True	9284;9296;10678;11945	11080;11081;11096;12751;14280	20015;20016;20044;20045;23112;23113;26044;26045	20015;20045;23113;26044		
H7BYD0;Q5H9R2;Q16718;F8WAS3;C9IZN5	H7BYD0;Q5H9R2;Q16718	6;6;6;2;2	6;6;6;2;2	6;6;6;2;2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	NDUFA5;DKFZp781K1356	>tr|H7BYD0|H7BYD0_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Fragment) OS=Homo sapiens GN=NDUFA5 PE=4 SV=1;>tr|Q5H9R2|Q5H9R2_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Homo sapiens GN=DKFZp781K1356 PE=2 S	5	6	6	6	56.2	56.2	56.2	12.988	112	112;116;116;70;93	4.3846E-27	2.0504	1.4041	20.549	7	146580000	52974000	93607000				877	5173;5801;6171;7412;7413;12477	True;True;True;True;True;True	5182;5811;6181;7424;7425;12497	6217;7002;7003;7435;8919;8920;8921;8922;8923;14960	11332;11333;12752;12753;13500;13501;16087;16088;16089;16090;16091;16092;16093;16094;27306	11333;12752;13501;16088;16094;27306		
Q5JRG1;Q9BVL2-2;H7BYF2;Q9BVL2-3;Q9BVL2	Q5JRG1;Q9BVL2-2;H7BYF2;Q9BVL2-3;Q9BVL2	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Nucleoporin p58/p45	NUPL1	>tr|Q5JRG1|Q5JRG1_HUMAN Nucleoporin p58/p45 (Fragment) OS=Homo sapiens GN=NUPL1 PE=2 SV=1;>sp|Q9BVL2-2|NUPL1_HUMAN Isoform 2 of Nucleoporin p58/p45 OS=Homo sapiens GN=NUPL1;>tr|H7BYF2|H7BYF2_HUMAN Nucleoporin p58/p45 (Fragment) OS=Homo sapiens GN=NUPL1 PE=	5	1	1	1	2.8	2.8	2.8	49.095	463	463;485;510;587;599	4.5753E-05	NaN	NaN	NaN	1	10411000	5291900	5118900				878	7637	True	7651	9182	16542;16543;16544	16544		
H7BYN3;Q00059;A8MRB2	H7BYN3;Q00059;A8MRB2	2;2;1	2;2;1	2;2;1	Transcription factor A, mitochondrial	TFAM	>tr|H7BYN3|H7BYN3_HUMAN Transcription factor A, mitochondrial (Fragment) OS=Homo sapiens GN=TFAM PE=4 SV=1;>sp|Q00059|TFAM_HUMAN Transcription factor A, mitochondrial OS=Homo sapiens GN=TFAM PE=1 SV=1;>tr|A8MRB2|A8MRB2_HUMAN Transcription factor A, mitocho	3	2	2	2	10	10	10	25.567	219	219;246;214	5.8612E-05	NaN	NaN	NaN	1	22919000	14475000	8443300				879	306;9285	True;True	306;9299	347;11099	642;643;20050	643;20050		
H7BZ20;P23919	H7BZ20;P23919	1;1	1;1	1;1	Thymidylate kinase	DTYMK	>tr|H7BZ20|H7BZ20_HUMAN Thymidylate kinase (Fragment) OS=Homo sapiens GN=DTYMK PE=4 SV=1;>sp|P23919|KTHY_HUMAN Thymidylate kinase OS=Homo sapiens GN=DTYMK PE=1 SV=4	2	1	1	1	6.2	6.2	6.2	21.655	192	192;212	0.0044664	NaN	NaN	NaN	1	13591000	6778200	6812600				880	12098	True	12118	14514	26486;26487	26487		
H7BZF6;H7C492;Q9Y276	H7BZF6;H7C492;Q9Y276	1;1;1	1;1;1	1;1;1	Mitochondrial chaperone BCS1	BCS1L	>tr|H7BZF6|H7BZF6_HUMAN Mitochondrial chaperone BCS1 (Fragment) OS=Homo sapiens GN=BCS1L PE=4 SV=1;>tr|H7C492|H7C492_HUMAN Mitochondrial chaperone BCS1 (Fragment) OS=Homo sapiens GN=BCS1L PE=4 SV=1;>sp|Q9Y276|BCS1_HUMAN Mitochondrial chaperone BCS1 OS=Homo	3	1	1	1	15.7	15.7	15.7	13.025	121	121;201;419	7.995E-05	NaN	NaN	NaN	1	5562400	2991900	2570500				881	7254	True	7266	8737	15768;15769	15768		
H7BZG9;Q6IC69;P30711	H7BZG9;Q6IC69;P30711	1;1;1	1;1;1	1;1;1	Glutathione S-transferase theta-1	GSTT1	>tr|H7BZG9|H7BZG9_HUMAN Glutathione S-transferase theta-1 (Fragment) OS=Homo sapiens GN=GSTT1 PE=2 SV=1;>tr|Q6IC69|Q6IC69_HUMAN GSTT1 protein OS=Homo sapiens GN=GSTT1 PE=2 SV=1;>sp|P30711|GSTT1_HUMAN Glutathione S-transferase theta-1 OS=Homo sapiens GN=GST	3	1	1	1	9.3	9.3	9.3	12.701	108	108;122;240	0.0097572	NaN	NaN	NaN	1	2488300	92030	2396300				882	6844	True	6854	8271	14984	14984		
H7BZJ3	H7BZJ3	6	1	1	Thioredoxin	PDIA3	>tr|H7BZJ3|H7BZJ3_HUMAN Thioredoxin (Fragment) OS=Homo sapiens GN=PDIA3 PE=2 SV=1	1	6	1	1	41.5	11.4	11.4	13.519	123	123	2.8421E-45	NaN	NaN	NaN	1	421950000	120230000	301710000				883	1453;4980;6023;9142;9321;12250	False;False;False;False;True;False	1458;4989;6033;9156;9335;12270	1727;5983;7271;10936;10937;11141;14689	3123;3124;3125;3126;10894;10895;13206;13207;19745;19746;19747;20129;20130;20131;26810;26811	3125;10894;13207;19746;20130;26810		
O00422;H7BZW6	O00422;H7BZW6	1;1	1;1	1;1	Histone deacetylase complex subunit SAP18	SAP18	>sp|O00422|SAP18_HUMAN Histone deacetylase complex subunit SAP18 OS=Homo sapiens GN=SAP18 PE=1 SV=1;>tr|H7BZW6|H7BZW6_HUMAN Histone deacetylase complex subunit SAP18 (Fragment) OS=Homo sapiens GN=SAP18 PE=4 SV=1	2	1	1	1	7.8	7.8	7.8	17.561	153	153;160	9.8815E-14	NaN	NaN	NaN	1	3283200	2025400	1257700				884	4327	True	4336	5168	9397;9398;9399	9398		
H7C0B8;H7C2V1;O60568	H7C0B8;H7C2V1;O60568	1;1;1	1;1;1	1;1;1	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	PLOD3	>tr|H7C0B8|H7C0B8_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (Fragment) OS=Homo sapiens GN=PLOD3 PE=4 SV=1;>tr|H7C2V1|H7C2V1_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (Fragment) OS=Homo sapiens GN=PLOD3 PE=4 SV=1;>sp|O60568|PLOD3	3	1	1	1	25.8	25.8	25.8	7.6236	66	66;270;738	0.0044563	NaN	NaN	NaN	1	4313400	2291800	2021500				885	7421	True	7433	8932	16103	16103		
H7C0D5;Q9BSR8	H7C0D5;Q9BSR8	1;1	1;1	1;1	Protein YIPF4	YIPF4	>tr|H7C0D5|H7C0D5_HUMAN Protein YIPF4 (Fragment) OS=Homo sapiens GN=YIPF4 PE=2 SV=1;>sp|Q9BSR8|YIPF4_HUMAN Protein YIPF4 OS=Homo sapiens GN=YIPF4 PE=1 SV=1	2	1	1	1	15.5	15.5	15.5	6.447	58	58;244	0.010329	NaN	NaN	NaN	1	9055500	2774400	6281000				886	6891	True	6902	8330	15077;15078	15078		
H7C0E5;O75312;H7BZM7	H7C0E5;O75312;H7BZM7	2;2;1	2;2;1	2;2;1	Zinc finger protein ZPR1	ZNF259	>tr|H7C0E5|H7C0E5_HUMAN Zinc finger protein ZPR1 (Fragment) OS=Homo sapiens GN=ZNF259 PE=4 SV=1;>sp|O75312|ZPR1_HUMAN Zinc finger protein ZPR1 OS=Homo sapiens GN=ZNF259 PE=1 SV=1;>tr|H7BZM7|H7BZM7_HUMAN Zinc finger protein ZPR1 (Fragment) OS=Homo sapiens G	3	2	2	2	7.8	7.8	7.8	42.542	386	386;459;430	4.5297E-17	0.78055	0.70795	8.3689	2	9645800	6276100	3369700				887	5341;8344	True;True	5350;8357	6419;10010	11717;11718;18033;18034;18035	11718;18034		
Q9H330-3;H7C0G1;Q9H330-2;Q9H330	Q9H330-3;H7C0G1;Q9H330-2;Q9H330	1;1;1;1	1;1;1;1	1;1;1;1	Transmembrane protein 245	TMEM245	>sp|Q9H330-3|TM245_HUMAN Isoform 3 of Transmembrane protein 245 OS=Homo sapiens GN=TMEM245;>tr|H7C0G1|H7C0G1_HUMAN Transmembrane protein 245 (Fragment) OS=Homo sapiens GN=TMEM245 PE=4 SV=1;>sp|Q9H330-2|TM245_HUMAN Isoform 2 of Transmembrane protein 245 OS=	4	1	1	1	3.2	3.2	3.2	48.041	431	431;472;879;911	4.8711E-05	NaN	NaN	NaN	0	0	0	0				888	659	True	661	771	1392	1392		
H7C0K8;Q9BWH2	H7C0K8;Q9BWH2	1;1	1;1	1;1	FUN14 domain-containing protein 2	FUNDC2	>tr|H7C0K8|H7C0K8_HUMAN FUN14 domain-containing protein 2 (Fragment) OS=Homo sapiens GN=FUNDC2 PE=2 SV=1;>sp|Q9BWH2|FUND2_HUMAN FUN14 domain-containing protein 2 OS=Homo sapiens GN=FUNDC2 PE=1 SV=2	2	1	1	1	12.8	12.8	12.8	10.233	94	94;189	0.00080269	NaN	NaN	NaN	1	11707000	3465900	8240600				889	6283	True	6293	7559	13704	13704		
H7C0V0;Q8WWC4	H7C0V0;Q8WWC4	1;1	1;1	1;1	Uncharacterized protein C2orf47, mitochondrial	C2orf47	>tr|H7C0V0|H7C0V0_HUMAN Uncharacterized protein C2orf47, mitochondrial (Fragment) OS=Homo sapiens GN=C2orf47 PE=4 SV=1;>sp|Q8WWC4|CB047_HUMAN Uncharacterized protein C2orf47, mitochondrial OS=Homo sapiens GN=C2orf47 PE=1 SV=1	2	1	1	1	4.4	4.4	4.4	25.006	225	225;291	0.00016688	NaN	NaN	NaN	1	7210600	3628100	3582500				890	3113	True	3120	3691	6633;6634	6634		
H7C131;P09110;B4DVF4;P09110-2;C9JDE9	H7C131;P09110;B4DVF4;P09110-2;C9JDE9	2;2;1;1;1	2;2;1;1;1	2;2;1;1;1	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1	>tr|H7C131|H7C131_HUMAN 3-ketoacyl-CoA thiolase, peroxisomal (Fragment) OS=Homo sapiens GN=ACAA1 PE=3 SV=1;>sp|P09110|THIK_HUMAN 3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens GN=ACAA1 PE=1 SV=2;>tr|B4DVF4|B4DVF4_HUMAN 3-ketoacyl-CoA thiolase, peroxi	5	2	2	2	11	11	11	30.222	290	290;424;153;331;383	8.4291E-22	2.1625	2.0181	5.4925	2	19957000	4801300	15155000				891	246;4820	True;True	246;4829	284;5783	535;10537	535;10537		
O15155;H7C1N3	O15155;H7C1N3	1;1	1;1	1;1	BET1 homolog	BET1	>sp|O15155|BET1_HUMAN BET1 homolog OS=Homo sapiens GN=BET1 PE=1 SV=1;>tr|H7C1N3|H7C1N3_HUMAN BET1 homolog (Fragment) OS=Homo sapiens GN=BET1 PE=4 SV=1	2	1	1	1	15.3	15.3	15.3	13.289	118	118;133	1.0432E-05	NaN	NaN	NaN	0	11174000	0	11174000				892	6602	True	6612	7975	14476	14476		
H7C4F6;O00629	H7C4F6;O00629	1;1	1;1	1;1	Importin subunit alpha-4	KPNA4	>tr|H7C4F6|H7C4F6_HUMAN Importin subunit alpha-4 (Fragment) OS=Homo sapiens GN=KPNA4 PE=2 SV=1;>sp|O00629|IMA4_HUMAN Importin subunit alpha-4 OS=Homo sapiens GN=KPNA4 PE=1 SV=1	2	1	1	1	8.2	8.2	8.2	18.881	170	170;521	0.0052853	NaN	NaN	NaN	1	13935000	5632700	8302100				893	4929	True	4938	5925	10790	10790		
Q9NR56-3;Q9NR56-4;H7C4T5;Q9NR56-6;Q9NR56-2;Q9NR56-5	Q9NR56-3;Q9NR56-4;H7C4T5;Q9NR56-6;Q9NR56-2;Q9NR56-5	2;2;2;2;2;2	2;2;2;2;2;2	1;1;1;1;1;1		MBNL1	>sp|Q9NR56-3|MBNL1_HUMAN Isoform 3 of Muscleblind-like protein 1 OS=Homo sapiens GN=MBNL1;>sp|Q9NR56-4|MBNL1_HUMAN Isoform 4 of Muscleblind-like protein 1 OS=Homo sapiens GN=MBNL1;>tr|H7C4T5|H7C4T5_HUMAN Muscleblind-like protein 1 (Fragment) OS=Homo sapien	6	2	2	1	14.6	14.6	10.9	33.05	302	302;314;329;342;370;382	1.0199E-05	1.1181	0.95947	12.407	2	18122000	8248300	9873400				894	110;12195	True;True	110;12215	127;14625	245;246;247;248;26682	247;26682		
H7C507;Q9Y2H6-2;Q9Y2H6	H7C507;Q9Y2H6-2;Q9Y2H6	1;1;1	1;1;1	1;1;1	Fibronectin type-III domain-containing protein 3A	FNDC3A	>tr|H7C507|H7C507_HUMAN Fibronectin type-III domain-containing protein 3A (Fragment) OS=Homo sapiens GN=FNDC3A PE=2 SV=1;>sp|Q9Y2H6-2|FND3A_HUMAN Isoform 2 of Fibronectin type-III domain-containing protein 3A OS=Homo sapiens GN=FNDC3A;>sp|Q9Y2H6|FND3A_HUMA	3	1	1	1	11.5	11.5	11.5	15.881	139	139;1142;1198	0.00050408	NaN	NaN	NaN	0	5215500	0	5215500				895	11790	True	11809	14112	25749	25749		
H7C521;H7C5L6;P78362;P78362-2;H7C2I2;F8WBW4;Q9UPE1-2;A8MPP7;Q9UPE1-3;A8MPY5;Q5R363;Q9UPE1-4;Q9UPE1;E7ETV6;B4DS61;Q96SB4;H3BLV9;Q96SB4-3	H7C521;H7C5L6;P78362;P78362-2;H7C2I2;F8WBW4;Q9UPE1-2;A8MPP7;Q9UPE1-3;A8MPY5;Q5R363;Q9UPE1-4;Q9UPE1;E7ETV6;B4DS61;Q96SB4;H3BLV9;Q96SB4-3	2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1	2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1	2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1	SRSF protein kinase 2;SRSF protein kinase 2 N-terminal;SRSF protein kinase 2 C-terminal;SRSF protein kinase 3;SRSF protein kinase 1	SRPK2;SRPK3;SRPK1	>tr|H7C521|H7C521_HUMAN SRSF protein kinase 2 (Fragment) OS=Homo sapiens GN=SRPK2 PE=4 SV=1;>tr|H7C5L6|H7C5L6_HUMAN SRSF protein kinase 2 (Fragment) OS=Homo sapiens GN=SRPK2 PE=4 SV=1;>sp|P78362|SRPK2_HUMAN SRSF protein kinase 2 OS=Homo sapiens GN=SRPK2 PE	18	2	2	2	10.8	10.8	10.8	23.523	204	204;295;688;699;129;147;491;492;533;534;547;566;567;634;639;655;671;826	0.00015133	NaN	NaN	NaN	1	4940400	3637400	1303000				896	4549;6587	True;True	4558;6597	5442;7957	9900;14443	9900;14443		
H7C5S6;Q9UFC0	H7C5S6;Q9UFC0	1;1	1;1	1;1	Leucine-rich repeat and WD repeat-containing protein 1	LRWD1	>tr|H7C5S6|H7C5S6_HUMAN Leucine-rich repeat and WD repeat-containing protein 1 (Fragment) OS=Homo sapiens GN=LRWD1 PE=4 SV=1;>sp|Q9UFC0|LRWD1_HUMAN Leucine-rich repeat and WD repeat-containing protein 1 OS=Homo sapiens GN=LRWD1 PE=1 SV=2	2	1	1	1	5	5	5	19.914	179	179;647	0.0032609	NaN	NaN	NaN	1	4439400	2922100	1517300				897	11683	True	11703	13987	25501;25502	25502		
Q6Y7W6-4;Q6Y7W6;Q6Y7W6-3;I1E4Y6;C9JW88;F8WCD5;C9JPV7;C9JXQ0;C9J0V6;C9JHT0;C9JRZ2;C9JH18;C9JHW1;E7ESB6;E9PC50	Q6Y7W6-4;Q6Y7W6;Q6Y7W6-3;I1E4Y6	3;3;3;3;1;1;1;1;1;1;1;1;1;1;1	3;3;3;3;1;1;1;1;1;1;1;1;1;1;1	3;3;3;3;1;1;1;1;1;1;1;1;1;1;1	PERQ amino acid-rich with GYF domain-containing protein 2	GIGYF2	>sp|Q6Y7W6-4|PERQ2_HUMAN Isoform 3 of PERQ amino acid-rich with GYF domain-containing protein 2 OS=Homo sapiens GN=GIGYF2;>sp|Q6Y7W6|PERQ2_HUMAN PERQ amino acid-rich with GYF domain-containing protein 2 OS=Homo sapiens GN=GIGYF2 PE=1 SV=1;>sp|Q6Y7W6-3|PERQ	15	3	3	3	3.1	3.1	3.1	148.63	1286	1286;1299;1320;1321;68;92;93;100;106;113;115;149;720;836;872	2.8532E-61	1.1709	1.0771	21.003	2	12860000	3033400	9826200				898	44;7089;9670	True;True;True	44;7101;9687	48;49;8551;11537	90;91;92;15454;15455;20830	91;15454;20830		
I3L0N3;P46459;B4DFA2;I3L0L3;I3L2G1;I3L338;I3L4Q9;K7EQD6	I3L0N3;P46459;B4DFA2	16;16;13;4;2;1;1;1	16;16;13;4;2;1;1;1	16;16;13;4;2;1;1;1	Vesicle-fusing ATPase	NSF	>tr|I3L0N3|I3L0N3_HUMAN Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=2 SV=1;>sp|P46459|NSF_HUMAN Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=1 SV=3;>tr|B4DFA2|B4DFA2_HUMAN Vesicle-fusing ATPase OS=Homo sapiens GN=NSF PE=2 SV=1	8	16	16	16	25.8	25.8	25.8	82.091	739	739;744;644;161;136;44;81;180	7.2018E-58	2.0867	1.7216	52.371	13	235760000	76746000	159010000				899	1420;1516;2268;4295;4949;6247;6633;7588;7663;8101;8988;9537;10367;10606;11853;12501	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1425;1521;2274;4304;4958;6257;6643;7602;7676;8114;9002;9554;10386;10625;11872;12521	1689;1802;2716;5132;5133;5949;7517;8009;9129;9207;9733;10758;11381;12398;12690;14191;14993	3037;3038;3039;3264;4854;9318;9319;9320;9321;10834;13641;14542;16445;16592;17550;17551;19445;20567;22443;22444;22987;25883;27368;27369	3037;3264;4854;9321;10834;13641;14542;16445;16592;17551;19445;20567;22444;22987;25883;27369		
I3L0Q0;I3L2Q4;P62253	I3L0Q0;I3L2Q4;P62253	3;3;3	3;3;3	3;3;3	Ubiquitin-conjugating enzyme E2 G1	UBE2G1	>tr|I3L0Q0|I3L0Q0_HUMAN Ubiquitin-conjugating enzyme E2 G1 OS=Homo sapiens GN=UBE2G1 PE=2 SV=1;>tr|I3L2Q4|I3L2Q4_HUMAN Ubiquitin-conjugating enzyme E2 G1 OS=Homo sapiens GN=UBE2G1 PE=2 SV=1;>sp|P62253|UB2G1_HUMAN Ubiquitin-conjugating enzyme E2 G1 OS=Homo 	3	3	3	3	59.2	59.2	59.2	5.5393	49	49;50;170	6.2911E-17	0.92717	0.84924	13.691	2	11732000	5836800	5895000				900	7907;8362;10232	True;True;True	7920;8375;10250	9494;10030;12193	17122;18080;18081;22060	17122;18081;22060		
I3L4S5;K7ELT1;I3L0T4;Q15067-3;Q15067-2;Q15067	I3L4S5;K7ELT1;I3L0T4;Q15067-3;Q15067-2;Q15067	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Peroxisomal acyl-coenzyme A oxidase 1	ACOX1	>tr|I3L4S5|I3L4S5_HUMAN Peroxisomal acyl-coenzyme A oxidase 1 (Fragment) OS=Homo sapiens GN=ACOX1 PE=4 SV=1;>tr|K7ELT1|K7ELT1_HUMAN Peroxisomal acyl-coenzyme A oxidase 1 (Fragment) OS=Homo sapiens GN=ACOX1 PE=4 SV=1;>tr|I3L0T4|I3L0T4_HUMAN Peroxisomal acyl	6	1	1	1	13	13	13	12.361	108	108;157;223;622;660;660	1.6146E-09	NaN	NaN	NaN	1	4379000	2353000	2026000				901	2312	True	2319	2765	4956	4956		
I3L1L3;Q9BQG0;Q9BQG0-2	I3L1L3;Q9BQG0;Q9BQG0-2	4;4;4	4;4;4	4;4;4	Myb-binding protein 1A	MYBBP1A	>tr|I3L1L3|I3L1L3_HUMAN Myb-binding protein 1A (Fragment) OS=Homo sapiens GN=MYBBP1A PE=4 SV=1;>sp|Q9BQG0|MBB1A_HUMAN Myb-binding protein 1A OS=Homo sapiens GN=MYBBP1A PE=1 SV=2;>sp|Q9BQG0-2|MBB1A_HUMAN Isoform 2 of Myb-binding protein 1A OS=Homo sapiens G	3	4	4	4	5.3	5.3	5.3	140.13	1252	1252;1328;1332	3.2505E-10	0.49102	0.44036	29.203	2	15954000	11357000	4596600				902	899;1072;8389;8437	True;True;True;True	903;1076;8402;8450	1066;1271;10058;10113	1941;2314;18136;18137;18245	1941;2314;18136;18245		
